summary,start,end,categories,description,zones
Premier Quartier,2000-03-13,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Saint-Patrick,2000-03-17,,Culture|Fêtes,"Fête nationale irlandaise le 17 mars, commémorant la mort de saint Patrick (461).",
Début du Printemps — Équinoxe de printemps,2000-03-20,,Saisons|Astronomie,L'équinoxe de printemps marque le début astronomique du printemps.,
Pleine Lune,2000-03-20,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée nationale de lutte contre les discriminations,2000-03-21,,Société,Créée par l'ONU en 1966 en mémoire du massacre de Sharpeville.,
Journée mondiale de l'eau,2000-03-22,,Environnement|Société,Proclamée par l'ONU en 1993.,
Passage à l'heure d'été,2000-03-26,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres avancent d'une heure (2h → 3h).",
Dernier Quartier,2000-03-28,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Poisson d'avril,2000-04-01,,Culture,Journée des farces et des canulars.,
Nouvelle Lune,2000-04-04,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée mondiale de la Santé,2000-04-07,,Santé,Commémore la fondation de l'OMS le 7 avril 1948.,
Premier Quartier,2000-04-11,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Dimanche des Rameaux,2000-04-16,,Christianisme,Ouvre la Semaine Sainte en rappelant l'entrée triomphale de Jésus à Jérusalem.,
Pleine Lune,2000-04-18,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Vendredi Saint,2000-04-21,,Jours fériés|Christianisme,"Commémore la crucifixion du Christ. Jour férié uniquement en Alsace-Moselle (départements 57, 67, 68) en vertu du régime concordataire.",AM
Vendredi Saint,2000-04-21,,Christianisme,Commémore la crucifixion du Christ. Non férié en France depuis la loi de 1905 — sauf en Alsace-Moselle.,
Jour de la Terre,2000-04-22,,Environnement|Société,Né le 22 avril 1970 après une marée noire en Californie.,
Pâques,2000-04-23,,Christianisme,Fête chrétienne célébrant la résurrection du Christ. Sa date varie chaque année car elle suit le calendrier lunaire.,
Lundi de Pâques,2000-04-24,,Jours fériés|Christianisme,"Jour férié qui prolonge le dimanche de Pâques. La tradition des œufs vient du Carême : l'Église interdisait d'en manger pendant 40 jours, on offrait donc à Pâques ceux accumulés.",
Dernier Quartier,2000-04-26,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête du Travail,2000-05-01,,Jours fériés|Société,"Commémore la grève de Chicago du 1er mai 1886 pour les 8 heures de travail, réprimée dans le sang. Férié et chômé en France depuis 1947. La tradition d'offrir du muguet vient d'une coutume de Charles IX datant de 1561.",
Nouvelle Lune,2000-05-04,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête de la Victoire 1945,2000-05-08,,Jours fériés,"Le 8 mai 1945, l'Allemagne nazie signe sa capitulation sans condition, mettant fin à la guerre en Europe. Férié depuis 1953, supprimé par Giscard en 1975, puis rétabli par Mitterrand en 1981.",
Abolition de l'esclavage en France — Commémoration,2000-05-10,,Mémoire|Société,Journée nationale instaurée par la loi Taubira de 2001.,
Premier Quartier,2000-05-10,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Festival de Cannes — Ouverture,2000-05-14,,Culture|Cinéma,"Le Festival International du Film de Cannes, créé en 1946.",
Pleine Lune,2000-05-18,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Nuit des Musées,2000-05-20,,Culture,Créée en France en 2005 et étendue à toute l'Europe.,
Journée mondiale de la biodiversité,2000-05-22,,Environnement,Commémore l'adoption de la Convention sur la Diversité Biologique à Rio.,
Dernier Quartier,2000-05-26,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête des Voisins,2000-05-26,,Société,Créée en 2000 pour lutter contre l'isolement urbain.,
Journée nationale de la Résistance,2000-05-27,,Mémoire|Société,"Le 27 mai 1943, Jean Moulin préside la première réunion secrète du CNR.",
Fête des Mères,2000-05-28,,Fêtes|Culture,"Célébrée le dernier dimanche de mai, sauf si c'est la Pentecôte.",
Journée mondiale sans tabac,2000-05-31,,Santé,Lancée par l'OMS en 1987.,
Ascension,2000-06-01,,Jours fériés|Christianisme,"Fête chrétienne commémorant la montée du Christ au ciel, 40 jours après Pâques. Toujours un jeudi, ce qui en fait naturellement un pont avec le vendredi.",
Nouvelle Lune,2000-06-02,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Pont possible — Ascension,2000-06-02,,Ponts / Congés,Ascension tombe un jeudi le 01/06/2000. Le vendredi 02/06/2000 est un pont potentiel — vérifiez auprès de votre employeur.,
Débarquement en Normandie — Commémoration du Jour J,2000-06-06,,Mémoire|Dates spéciales,"Le 6 juin 1944, 156 000 soldats alliés débarquent sur les plages de Normandie.",
Journée mondiale de l'océan,2000-06-08,,Environnement,Proposée lors du Sommet de la Terre de Rio en 1992.,
Premier Quartier,2000-06-09,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pentecôte,2000-06-11,,Christianisme,"Célèbre la descente de l'Esprit Saint sur les apôtres, 50 jours après Pâques.",
Lundi de Pentecôte,2000-06-12,,Jours fériés|Christianisme,"Jour férié désigné depuis 2004 Journée de solidarité envers les personnes âgées. Les salariés travaillent ce jour sans rémunération supplémentaire, finançant ainsi la prise en charge de la dépendance — instauré après la canicule de 2003 qui fit 15 000 morts en France.",
Pleine Lune,2000-06-17,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Appel du 18 juin 1940 — Anniversaire,2000-06-18,,Mémoire|Dates spéciales,"Le 18 juin 1940, de Gaulle lance depuis Londres un appel à la Résistance sur la BBC.",
Fête des Pères,2000-06-18,,Fêtes|Culture,"Née aux États-Unis en 1910, introduite en France dans les années 1950.",
Début de l'Été — Solstice d'été,2000-06-21,,Saisons|Astronomie,Le solstice d'été est le jour le plus long de l'année.,
Fête de la Musique,2000-06-21,,Culture|Fêtes,Créée en 1982 par le ministre Jack Lang.,
Jour le plus long de l'année,2000-06-21,,Saisons|Astronomie,Le 21 June est le jour le plus long de l'année 2000.,
Dernier Quartier,2000-06-25,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête du Cinéma,2000-06-25,,Culture|Cinéma,"Créée en 1985, elle propose chaque fin juin des places à tarif réduit.",
Milieu de l'année,2000-07-01,,Dates spéciales,Ce jour marque le point médian exact de l'année 2000.,
Nouvelle Lune,2000-07-01,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Festival d'Avignon — Ouverture,2000-07-05,,Culture|Théâtre,Créé par Jean Vilar en 1947 dans la cour du Palais des Papes.,
Premier Quartier,2000-07-08,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Commémoration de la Rafle du Vél d'Hiv,2000-07-09,,Mémoire|Société,"Les 16-17 juillet 1942, la police française arrêta 13 152 Juifs à Paris.",
Fête Nationale,2000-07-14,,Jours fériés|Société|Dates spéciales,Commémore la prise de la Bastille le 14 juillet 1789.,
Fête nationale,2000-07-14,,Jours fériés,"Commémore la prise de la Bastille le 14 juillet 1789, symbole de la Révolution française. Jour férié depuis 1880. Défilé militaire sur les Champs-Élysées, bals des pompiers et feux d'artifice dans toute la France.",
Pleine Lune,2000-07-16,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2000-07-24,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2000-07-31,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Nuit des Étoiles,2000-08-05,,Astronomie|Éducation|Culture,Organisée chaque premier week-end d'août par l'Association Française d'Astronomie depuis 1991.,
Premier Quartier,2000-08-07,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pont possible — Assomption,2000-08-14,,Ponts / Congés,Assomption tombe un mardi le 15/08/2000. Le lundi 14/08/2000 est un pont potentiel — vérifiez auprès de votre employeur.,
Assomption,2000-08-15,,Jours fériés,"Célèbre l'élévation de la Vierge Marie au ciel. Fête chrétienne ancienne, jour férié en France depuis le Concordat de 1802. Elle tombe en plein cœur de l'été, au milieu des grandes vacances.",
Assomption de Marie,2000-08-15,,Christianisme|Jours fériés,Célèbre l'élévation de la Vierge Marie au ciel.,
Pleine Lune,2000-08-15,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2000-08-22,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2000-08-29,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Braderie de Lille,2000-09-02,,Culture|Commerce,"Plus grande braderie d'Europe, organisée le premier week-end de septembre à Lille.",
Rentrée des classes,2000-09-02,,Éducation|Société,La rentrée de septembre mobilise 12 millions d'élèves et 870 000 enseignants en France.,
Premier Quartier,2000-09-05,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2000-09-13,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journées du Patrimoine,2000-09-16,,Culture|Société,"Créées en France en 1984 par Jack Lang, étendues à toute l'Europe en 1991.",
Dernier Quartier,2000-09-21,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Début de l'Automne — Équinoxe d'automne,2000-09-22,,Saisons|Astronomie,L'équinoxe d'automne marque le début de l'automne.,
Journée mondiale sans voiture,2000-09-22,,Environnement|Société,Lancée en France en 1998 par La Rochelle.,
Nouvelle Lune,2000-09-27,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête des Grands-Pères,2000-10-01,,Fêtes|Culture,"Créée en 2008, elle a lieu chaque premier dimanche d'octobre.",
Journée mondiale du cacao et du chocolat,2000-10-01,,Gastronomie|Culture,Célébrée le 1er octobre et associée à l'Organisation internationale du cacao (ICCO).,
Lancement d'Octobre Rose,2000-10-01,,Santé,Tout octobre est dédié à la sensibilisation au cancer du sein.,
Premier Quartier,2000-10-05,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Nuit Blanche,2000-10-07,,Culture,Initiée à Paris en 2002 par le maire Bertrand Delanoë.,
Semaine du Goût,2000-10-09,,Gastronomie|Culture,Créée en 1990 par le chef Joël Robuchon.,
Journée mondiale de la santé mentale,2000-10-10,,Santé|Société,Créée par la Fédération Mondiale pour la Santé Mentale en 1992.,
Pleine Lune,2000-10-13,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale de l'alimentation,2000-10-16,,Gastronomie|Société|Santé,Commémore la fondation de la FAO le 16 octobre 1945.,
Dernier Quartier,2000-10-20,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2000-10-27,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Passage à l'heure d'hiver,2000-10-29,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres reculent d'une heure (3h → 2h).",
Halloween,2000-10-31,,Culture|Fêtes,Fête d'origine celtique (la nuit de Samain) christianisée puis popularisée par la diaspora irlandaise.,
Lancement du Mois sans Tabac,2000-11-01,,Santé,Lancé en France en 2016 par Santé Publique France.,
Toussaint,2000-11-01,,Jours fériés|Christianisme,"Fête de tous les saints, instituée par le pape Grégoire IV en 835. En France, la tradition de fleurir les tombes avec des chrysanthèmes s'est greffée dessus — ces fleurs sont désormais intimement liées à ce jour.",
Journée nationale de l'arbre,2000-11-02,,Environnement,Célébrée chaque premier jeudi de novembre.,
Premier Quartier,2000-11-04,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Armistice 1918,2000-11-11,,Jours fériés,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale après quatre ans de combats. Jour férié depuis 1922. Chaque commune française a son monument aux morts — 36 000 érigés entre 1920 et 1925.",
Armistice de 1918 — Journée du Souvenir,2000-11-11,,Jours fériés|Mémoire|Dates spéciales,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale.",
Pleine Lune,2000-11-11,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Beaujolais Nouveau,2000-11-16,,Gastronomie|Culture|Commercial,"Chaque troisième jeudi de novembre, le Beaujolais Nouveau est mis en vente.",
Dernier Quartier,2000-11-18,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée internationale des droits de l'enfant,2000-11-20,,Société,Commémore l'adoption de la Convention des Nations Unies relative aux droits de l'enfant.,
Nouvelle Lune,2000-11-26,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête de la Bretagne,2000-11-30,,Culture|Société,Célébrée le 30 novembre (Saint-André) depuis les années 1990.,
Journée mondiale des personnes handicapées,2000-12-03,,Société,Instaurée par l'ONU en 1992.,
Premier Quartier,2000-12-04,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale du Bénévolat,2000-12-05,,Société,Créée par l'ONU en 1985.,
Saint-Nicolas,2000-12-06,,Christianisme|Culture|Fêtes,"Fête de Nicolas de Myre, évêque du IVe siècle devenu patron des enfants.",
Journée de la Laïcité,2000-12-09,,Société|Dates spéciales,Commémore la loi du 9 décembre 1905 séparant les Églises de l'État.,
Pleine Lune,2000-12-11,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2000-12-18,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Début de l'Hiver — Solstice d'hiver,2000-12-21,,Saisons|Astronomie,Le solstice d'hiver est le jour le plus court de l'année.,
Jour le plus court de l'année,2000-12-21,,Saisons|Astronomie,Le 21 December est le jour le plus court de l'année 2000.,
Nouvelle Lune,2000-12-25,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Noël,2000-12-25,,Jours fériés|Christianisme|Fêtes,"Célèbre la naissance du Christ. La date du 25 décembre a été fixée au IVe siècle sur une fête solaire romaine préexistante. Le sapin, la bûche et les cadeaux sont des traditions popularisées bien plus tard, au XIXe siècle.",
Saint-Étienne,2000-12-26,,Jours fériés|Christianisme,"Le 26 décembre est férié uniquement en Alsace-Moselle (depts 57, 67, 68). Fête de saint Étienne, premier martyr chrétien.",AM
Dernier jour de l'année,2000-12-31,,Dates spéciales,Clôture de l'année civile 2000.,
Fin d'un siècle,2000-12-31,,Dates spéciales,Le 31 décembre 2000 clôture le XXe siècle.,
Saint-Sylvestre / Réveillon du Nouvel An,2000-12-31,,Fêtes|Culture,"Dernier jour de l'année, nommé d'après le pape Sylvestre Ier mort ce jour en 335.",
Début d'un nouveau siècle,2001-01-01,,Dates spéciales,Le 1er janvier 2001 ouvre le XXIe siècle.,
Jour de l'an,2001-01-01,,Jours fériés,Premier jour de l'année civile grégorienne. La tradition des vœux existe depuis l'Antiquité romaine. Le gui porte-bonheur vient d'une coutume druidique bien antérieure au christianisme.,
Premier Quartier,2001-01-02,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Épiphanie,2001-01-06,,Christianisme|Culture|Gastronomie,"Célèbre la visite des Rois Mages à Jésus, 12 jours après Noël.",
Pleine Lune,2001-01-09,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2001-01-16,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée internationale de l'Éducation,2001-01-24,,Éducation|Société,Proclamée par l'ONU en 2019.,
Nouvelle Lune,2001-01-24,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée nationale de la Mémoire de la Shoah,2001-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Premier Quartier,2001-02-01,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Chandeleur,2001-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2001-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Journée mondiale contre le cancer,2001-02-04,,Santé,Initiée par l'Union Internationale Contre le Cancer depuis 2000.,
Pleine Lune,2001-02-08,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Date palindrome,2001-02-10,,Dates spéciales,La date du 10/02/2001 se lit de la même façon dans les deux sens (10022001).,
Saint-Valentin,2001-02-14,,Fêtes|Culture,Fête des amoureux le 14 février.,
Dernier Quartier,2001-02-15,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2001-02-23,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Salon de l'Agriculture — Ouverture,2001-02-24,,Gastronomie|Agriculture|Culture,Le Salon International de l'Agriculture se tient chaque fin février à Paris.,
Mardi Gras,2001-02-27,,Christianisme|Culture|Fêtes,"Dernier jour avant le Carême, où la tradition voulait qu'on fasse bombance avant l'abstinence.",
Début du Carême,2001-02-28,,Christianisme,"Le Carême commence le Mercredi des Cendres, 46 jours avant Pâques.",
Premier Quartier,2001-03-03,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête des Grands-Mères,2001-03-04,,Fêtes|Culture,Créée en 1987 par la marque de café Grand'Mère.,
Journée internationale des femmes,2001-03-08,,Société,Issue des luttes ouvrières du début du XXe siècle en Europe et aux États-Unis.,
Pleine Lune,2001-03-09,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Dernier Quartier,2001-03-16,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Saint-Patrick,2001-03-17,,Culture|Fêtes,"Fête nationale irlandaise le 17 mars, commémorant la mort de saint Patrick (461).",
Début du Printemps — Équinoxe de printemps,2001-03-20,,Saisons|Astronomie,L'équinoxe de printemps marque le début astronomique du printemps.,
Journée nationale de lutte contre les discriminations,2001-03-21,,Société,Créée par l'ONU en 1966 en mémoire du massacre de Sharpeville.,
Journée mondiale de l'eau,2001-03-22,,Environnement|Société,Proclamée par l'ONU en 1993.,
Nouvelle Lune,2001-03-25,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Passage à l'heure d'été,2001-03-25,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres avancent d'une heure (2h → 3h).",
Poisson d'avril,2001-04-01,,Culture,Journée des farces et des canulars.,
Premier Quartier,2001-04-01,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale de la Santé,2001-04-07,,Santé,Commémore la fondation de l'OMS le 7 avril 1948.,
Dimanche des Rameaux,2001-04-08,,Christianisme,Ouvre la Semaine Sainte en rappelant l'entrée triomphale de Jésus à Jérusalem.,
Pleine Lune,2001-04-08,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Vendredi Saint,2001-04-13,,Jours fériés|Christianisme,"Commémore la crucifixion du Christ. Jour férié uniquement en Alsace-Moselle (départements 57, 67, 68) en vertu du régime concordataire.",AM
Vendredi Saint,2001-04-13,,Christianisme,Commémore la crucifixion du Christ. Non férié en France depuis la loi de 1905 — sauf en Alsace-Moselle.,
Dernier Quartier,2001-04-15,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Pâques,2001-04-15,,Christianisme,Fête chrétienne célébrant la résurrection du Christ. Sa date varie chaque année car elle suit le calendrier lunaire.,
Lundi de Pâques,2001-04-16,,Jours fériés|Christianisme,"Jour férié qui prolonge le dimanche de Pâques. La tradition des œufs vient du Carême : l'Église interdisait d'en manger pendant 40 jours, on offrait donc à Pâques ceux accumulés.",
Jour de la Terre,2001-04-22,,Environnement|Société,Né le 22 avril 1970 après une marée noire en Californie.,
Nouvelle Lune,2001-04-23,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Pont possible — Fête du Travail,2001-04-30,,Ponts / Congés,Fête du Travail tombe un mardi le 01/05/2001. Le lundi 30/04/2001 est un pont potentiel — vérifiez auprès de votre employeur.,
Premier Quartier,2001-04-30,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête du Travail,2001-05-01,,Jours fériés|Société,"Commémore la grève de Chicago du 1er mai 1886 pour les 8 heures de travail, réprimée dans le sang. Férié et chômé en France depuis 1947. La tradition d'offrir du muguet vient d'une coutume de Charles IX datant de 1561.",
Pleine Lune,2001-05-07,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Pont possible — Fête de la Victoire,2001-05-07,,Ponts / Congés,Fête de la Victoire tombe un mardi le 08/05/2001. Le lundi 07/05/2001 est un pont potentiel — vérifiez auprès de votre employeur.,
Fête de la Victoire 1945,2001-05-08,,Jours fériés,"Le 8 mai 1945, l'Allemagne nazie signe sa capitulation sans condition, mettant fin à la guerre en Europe. Férié depuis 1953, supprimé par Giscard en 1975, puis rétabli par Mitterrand en 1981.",
Abolition de l'esclavage en France — Commémoration,2001-05-10,,Mémoire|Société,Journée nationale instaurée par la loi Taubira de 2001.,
Festival de Cannes — Ouverture,2001-05-14,,Culture|Cinéma,"Le Festival International du Film de Cannes, créé en 1946.",
Dernier Quartier,2001-05-15,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nuit des Musées,2001-05-19,,Culture,Créée en France en 2005 et étendue à toute l'Europe.,
Journée mondiale de la biodiversité,2001-05-22,,Environnement,Commémore l'adoption de la Convention sur la Diversité Biologique à Rio.,
Nouvelle Lune,2001-05-23,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Ascension,2001-05-24,,Jours fériés|Christianisme,"Fête chrétienne commémorant la montée du Christ au ciel, 40 jours après Pâques. Toujours un jeudi, ce qui en fait naturellement un pont avec le vendredi.",
Fête des Voisins,2001-05-25,,Société,Créée en 2000 pour lutter contre l'isolement urbain.,
Pont possible — Ascension,2001-05-25,,Ponts / Congés,Ascension tombe un jeudi le 24/05/2001. Le vendredi 25/05/2001 est un pont potentiel — vérifiez auprès de votre employeur.,
Fête des Mères,2001-05-27,,Fêtes|Culture,"Célébrée le dernier dimanche de mai, sauf si c'est la Pentecôte.",
Journée nationale de la Résistance,2001-05-27,,Mémoire|Société,"Le 27 mai 1943, Jean Moulin préside la première réunion secrète du CNR.",
Premier Quartier,2001-05-30,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale sans tabac,2001-05-31,,Santé,Lancée par l'OMS en 1987.,
Pentecôte,2001-06-03,,Christianisme,"Célèbre la descente de l'Esprit Saint sur les apôtres, 50 jours après Pâques.",
Lundi de Pentecôte,2001-06-04,,Jours fériés|Christianisme,"Jour férié désigné depuis 2004 Journée de solidarité envers les personnes âgées. Les salariés travaillent ce jour sans rémunération supplémentaire, finançant ainsi la prise en charge de la dépendance — instauré après la canicule de 2003 qui fit 15 000 morts en France.",
Débarquement en Normandie — Commémoration du Jour J,2001-06-06,,Mémoire|Dates spéciales,"Le 6 juin 1944, 156 000 soldats alliés débarquent sur les plages de Normandie.",
Pleine Lune,2001-06-06,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale de l'océan,2001-06-08,,Environnement,Proposée lors du Sommet de la Terre de Rio en 1992.,
Dernier Quartier,2001-06-14,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Fête des Pères,2001-06-17,,Fêtes|Culture,"Née aux États-Unis en 1910, introduite en France dans les années 1950.",
